2000/07/01;09:00;USD;H;ISM Non-Manufacturing PMI (Jun);;56.90;;;57.70;
2000/07/01;09:00;USD;H;New Home Sales (Jun);;793.00K;;;857.00K;
2000/07/01;09:00;USD;H;Philadelphia Fed Manufacturing Index (Jun);;2.40;;;13.90;
2000/07/01;09:00;USD;H;Retail Sales (MoM) (Jun);;0.70%;;;0.20%;
2000/07/01;09:00;CAD;H;Core CPI (MoM) (Jun);;0.30%;;;0.20%;
2000/07/01;09:00;CAD;H;Core Retail Sales (MoM) (Jun);;0.90%;;;0.10%;
2000/07/01;09:00;CAD;H;Employment Change (Jun);;10.40K;;;13.70K;
2000/07/01;09:00;CAD;H;GDP (MoM) (Jun);;0.40%;;;0.60%;
2000/07/01;09:00;CAD;H;BoC Interest Rate Decision (Jun);;5.75%;;;5.75%;
2000/07/01;09:00;AUD;H;Employment Change (Jun);;34.90K;;;4.00K;
2000/07/01;09:00;AUD;H;RBA Interest Rate Decision (Jun);;6.00%;;;6.00%;
2000/07/01;09:00;AUD;H;Retail Sales (MoM) (Jun);;8.10%;;;1.50%;
2000/07/01;09:00;NZD;H;RBNZ Interest Rate Decision (Jun);;6.50%;;;6.24%;
2000/07/01;09:00;EUR;H;CPI (YoY) (Jun);;2.40%;;;1.70%;
2000/07/01;09:00;EUR;H;ECB Interest Rate Decision (Jun);;4.25%;;;3.75%;
2000/07/01;12:30;USD;H;Unemployment Rate (Jun);;4%;;;4%;
2000/07/07;12:30;USD;H;Nonfarm Payrolls (Jun);;-47K;;;226K;
2000/08/01;09:00;GBP;H;Claimant Count Change (Jul);;-18.90K;;;-11.10K;
2000/08/01;09:00;GBP;H;CPI (YoY) (Jul);;0.90%;;;0.80%;
2000/08/01;09:00;GBP;H;BoE Interest Rate Decision (Jul);;6.00%;;;6.00%;
2000/08/01;09:00;GBP;H;Manufacturing Production (MoM) (Jul);;-1.10%;;;0.30%;
2000/08/01;09:00;GBP;H;Retail Sales (MoM) (Jul);;-0.20%;;;-0.40%;
2000/08/01;09:00;USD;H;CB Consumer Confidence (Jul);;143.00;;;139.20;
2000/08/01;09:00;USD;H;Core CPI (MoM) (Jul);;0.20%;;;0.20%;
2000/08/01;09:00;USD;H;Core Retail Sales (MoM) (Jul);;0.30%;;;0.60%;
2000/08/01;09:00;USD;H;Crude Oil Inventories (Jul);;-2.23M;;;-2.06M;
2000/08/01;09:00;USD;H;Existing Home Sales (Jul);;5.11M;;;5.13M;
2000/08/01;09:00;USD;H;ISM Manufacturing PMI (Jul);;52.50;;;51.40;
2000/08/01;09:00;USD;H;ISM Non-Manufacturing PMI (Jul);;55.30;;;56.90;
2000/08/01;09:00;USD;H;New Home Sales (Jul);;887.00K;;;793.00K;
2000/08/01;09:00;USD;H;Philadelphia Fed Manufacturing Index (Jul);;4.70;;;2.40;
2000/08/01;09:00;USD;H;Retail Sales (MoM) (Jul);;-0.30%;;;0.70%;
2000/08/01;09:00;CAD;H;Core CPI (MoM) (Jul);;0.00%;;;0.30%;
2000/08/01;09:00;CAD;H;Core Retail Sales (MoM) (Jul);;1.40%;;;0.90%;
2000/08/01;09:00;CAD;H;Employment Change (Jul);;3.60K;;;10.40K;
2000/08/01;09:00;CAD;H;GDP (MoM) (Jul);;0.20%;;;0.40%;
2000/08/01;09:00;CAD;H;BoC Interest Rate Decision (Jul);;5.75%;;;5.75%;
